Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,1.5019999742507935,1.5019999742507935,1.5019999742507935,1.5019999742507935,1.5019999742507935,0
2010-01-05,1.4936000108718872,1.4936000108718872,1.4936000108718872,1.4936000108718872,1.4936000108718872,0
2010-01-06,1.4881000518798828,1.4881000518798828,1.4881000518798828,1.4881000518798828,1.4881000518798828,0
2010-01-07,1.4811999797821045,1.4811999797821045,1.4811999797821045,1.4811999797821045,1.4811999797821045,8
2010-01-08,1.4874999523162842,1.4874999523162842,1.4874999523162842,1.4874999523162842,1.4874999523162842,0
2010-01-11,1.500100016593933,1.500100016593933,1.500100016593933,1.500100016593933,1.500100016593933,8
2010-01-12,1.5046000480651855,1.5046000480651855,1.5046000480651855,1.5046000480651855,1.5046000480651855,0
2010-01-13,1.4954999685287476,1.4954999685287476,1.4954999685287476,1.4954999685287476,1.4954999685287476,8
2010-01-14,1.483199954032898,1.483199954032898,1.483199954032898,1.483199954032898,1.483199954032898,48
2010-01-15,1.4789999723434448,1.4789999723434448,1.4789999723434448,1.4789999723434448,1.4789999723434448,0
2010-01-19,1.4737000465393066,1.4737000465393066,1.4737000465393066,1.4737000465393066,1.4737000465393066,0
2010-01-20,1.4772000312805176,1.4772000312805176,1.4772000312805176,1.4772000312805176,1.4772000312805176,0
2010-01-21,1.481600046157837,1.481600046157837,1.481600046157837,1.481600046157837,1.481600046157837,0
2010-01-22,1.4966000318527222,1.4966000318527222,1.4966000318527222,1.4966000318527222,1.4966000318527222,0
2010-01-25,1.496000051498413,1.496000051498413,1.496000051498413,1.496000051498413,1.496000051498413,0
2010-01-26,1.4938000440597534,1.4938000440597534,1.4938000440597534,1.4938000440597534,1.4938000440597534,0
2010-01-27,1.49590003490448,1.49590003490448,1.49590003490448,1.49590003490448,1.49590003490448,0
2010-01-28,1.4886000156402588,1.4886000156402588,1.4886000156402588,1.4886000156402588,1.4886000156402588,0
2010-01-29,1.4829000234603882,1.4829000234603882,1.4829000234603882,1.4829000234603882,1.4829000234603882,0
